Title	URL	Assignees	Status	Estimated size	Real size
Run the software on your own machine	https://github.com/amosproj/amos2025ws03-rtdip-timeseries-forecasting/issues/2		Product Backlog		
Understanding the rtdip software	https://github.com/amosproj/amos2025ws03-rtdip-timeseries-forecasting/issues/3		Product Backlog		
Research about time series forecasting fundamentals	https://github.com/amosproj/amos2025ws03-rtdip-timeseries-forecasting/issues/4		Product Backlog		
Research possible models useful for shell (sector) dataset	https://github.com/amosproj/amos2025ws03-rtdip-timeseries-forecasting/issues/5		Product Backlog		
Find open source time series datasets	https://github.com/amosproj/amos2025ws03-rtdip-timeseries-forecasting/issues/7		Product Backlog		
Research possible models that could be usefull for our customer	https://github.com/amosproj/amos2025ws03-rtdip-timeseries-forecasting/issues/6		Product Backlog		
