,MAE,RMSE,MAPE,MASE,SMAPE
AutoGluon,0.3947489685521245,1.2779658691321016,0.004039304488811083,0.6282556809226895,0.22577001819945988
LSTM,1.7626015023164707,1.982113574867197,0.049098343271492144,56.463755662626724,26.28241851284922
XGBoost,0.4990552803238971,1.9164593191942807,0.012674414123189742,14.758254371599403,23.068799000700658
