model,score_val,pred_time_val,fit_time_marginal,fit_order
WeightedEnsemble,-0.09965176568832786,1.173464059829712,0.14215350151062012,9
Chronos[bolt_small],-0.09965176568832786,1.173464059829712,4.838929653167725,7
Naive,-0.10364113475801527,2.737637519836426,0.009001493453979492,1
TemporalFusionTransformer,-0.19384016101540621,0.02483391761779785,138.24942350387573,8
DirectTabular,-0.22227186259692086,0.04399991035461426,0.5504717826843262,4
SeasonalNaive,-0.2244280150973487,1.5683879852294922,0.00799703598022461,2
ETS,-0.25142033659079305,1.4282701015472412,0.00900125503540039,5
RecursiveTabular,-0.292455936303962,0.07450199127197266,0.5693321228027344,3
Theta,-0.30745613192551713,0.8363091945648193,0.006998300552368164,6
