Metric,AutoGluon,LSTM,XGBoost,Winner
MAE,0.3947489685521245,1.7626015023164707,0.4990552803238971,AutoGluon
RMSE,1.2779658691321016,1.982113574867197,1.9164593191942807,AutoGluon
MAPE,0.004039304488811083,0.049098343271492144,0.012674414123189742,AutoGluon
MASE,0.6282556809226895,56.463755662626724,14.758254371599403,AutoGluon
SMAPE,0.22577001819945988,26.28241851284922,23.068799000700658,AutoGluon
